Day,Product_Name,Brand
Monday,Beurre de cacahuète,Marque A
Monday,Yaourt Grec,Marque B
Monday,Amandes grillées,Marque C
Tuesday,Fromage Feta,Marque D
Tuesday,Saumon fumé,Marque E
Tuesday,Avocat,Marque F
Wednesday, Huile de noix de coco, Marque G
Wednesday, Épinards, Marque H
Wednesday, Œufs, Marque I
Thursday, Bacon, Marque J
Thursday, Brocoli, Marque K
Thursday, Fromage de chèvre, Marque L
Friday, Beurre, Marque M
Friday, Steak de boeuf, Marque N
Friday, Noix de macadamia, Marque O
Saturday, Poulet rôti, Marque P
Saturday, Chou-fleur, Marque Q
Saturday, Crème fraîche, Marque R
Sunday, Saucisse, Marque S
Sunday, Asperges, Marque T
Sunday, Olives, Marque U
Monday, Beurre de cacahuète, Marque A
Monday, Yaourt Grec, Marque B
Monday, Amandes grillées, Marque C
Tuesday, Fromage Feta, Marque D
Tuesday, Saumon fumé, Marque E
Tuesday, Avocat, Marque F
Wednesday, Huile de noix de coco, Marque G
Wednesday, Épinards, Marque H
Wednesday, Œufs, Marque I
Thursday, Bacon, Marque J
Thursday, Brocoli, Marque K
Thursday, Fromage de chèvre, Marque L
Friday, Beurre, Marque M
Friday, Steak de boeuf, Marque N
Friday, Noix de macadamia, Marque O
Saturday, Poulet rôti, Marque P
Saturday, Chou-fleur, Marque Q
Saturday, Crème fraîche, Marque R
Sunday, Saucisse, Marque S
Sunday, Asperges, Marque T
Sunday, Olives, Marque U
Monday, Beurre de cacahuète, Marque A
Monday, Yaourt Grec, Marque B
Monday, Amandes grillées, Marque C
Tuesday, Fromage Feta, Marque D
Tuesday, Saumon fumé, Marque E
Tuesday, Avocat, Marque F
Wednesday, Huile de noix de coco, Marque G
Wednesday, Épinards, Marque H
Wednesday, Œufs, Marque I
Thursday, Bacon, Marque J
Thursday, Brocoli, Marque K
Thursday, Fromage de chèvre, Marque L
Friday, Beurre, Marque M
Friday, Steak de boeuf, Marque N
Friday, Noix de macadamia, Marque O
Saturday, Poulet rôti, Marque P
Saturday, Chou-fleur, Marque Q
Saturday, Crème fraîche, Marque R
Sunday, Saucisse, Marque S
Sunday, Asperges, Marque T
Sunday, Olives, Marque U

